term,spanish_origin,english_gloss,definition,language,category,image_url
mesa,mesa,table,"Household table term widely used in Chavacano daily conversation.",Chavacano,loanword,
silla,silla,chair,"Basic furniture term for chair inherited from Spanish usage.",Chavacano,loanword,
ventana,ventana,window,"Refers to a window in homes, classrooms, and offices.",Chavacano,loanword,
puerta,puerta,door,"Common word for door in household and public spaces.",Chavacano,loanword,
cuchara,cuchara,spoon,"Utensil term used in food and dining contexts.",Chavacano,loanword,
tenedor,tenedor,fork,"Dining fork term retained through Spanish lexical influence.",Chavacano,loanword,
cuchillo,cuchillo,knife,"Kitchen and dining knife term shared across many local speech communities.",Chavacano,loanword,
zapato,zapato,shoe,"General term for shoes in everyday market and household speech.",Chavacano,loanword,
camisa,camisa,shirt,"Clothing term for shirt used in casual and formal contexts.",Chavacano,loanword,
pantalon,pantalón,pants,"Clothing term for trousers or pants in common use.",Chavacano,loanword,
iglesia,iglesia,church,"Religious and community landmark term with strong historical continuity.",Chavacano,loanword,
escuela,escuela,school,"Education-related term used in family and institutional contexts.",Chavacano,loanword,
mercado,mercado,market,"Refers to public market spaces for trade and food purchase.",Chavacano,loanword,
trabajo,trabajo,work,"Core livelihood term meaning work, labor, or employment.",Chavacano,loanword,
dinero,dinero,money,"Frequent transactional term for money in commerce and household budgeting.",Chavacano,loanword,
fiesta,fiesta,festival,"Cultural celebration term tied to local community and religious events.",Chavacano,loanword,
familia,familia,family,"Kinship term central to social identity and household life.",Chavacano,loanword,
comida,comida,food,"General term for food and meals in domestic and public settings.",Chavacano,loanword,
calle,calle,street,"Urban navigation term for roads and streets in city discourse.",Chavacano,loanword,
tiempo,tiempo,time,"High-frequency term referring to time, weather, or period depending on context.",Chavacano,loanword,
