input,output
"Buenas, puede iyo compra tres pasteles na ika-tres grandor para na compleaños del de mio anak na dos semana. Possible ba akel?","Hola cliente.

Gracias na dituyu pregunta para na compra dos pasteles ika tres grandor na dos semana. Si, puede ustedes  compra dos pasteles ika-tres grandor. Kay este de bata pasteles, hace kame kuneste y bien kwidaw con cinceridad. Si etu chene cosa quere manda omenta, favor numa chene huya habla. Favor informa si que hora y cosa diya tu quera saca el pasteles para puede kame dale mas informacion. Gracias olet na dituyu consulta y kame ta resa con cinceridad feliz compleaños. 

[Nombre del tienda] sueno"
"Hola! 
quiere io man compra pateles para na una compleanio del dimio primer hijo na petsa 15 del septiembre. 
Tipo del pasteles: pasteles de crema batida, 
Grandor: No. 2
Disenyo: disenyo animal lindo
Palabra: Feliz aca-1 compleanio querido hijo
Petcha 'y hora del sacada: septiembre 14, alas tres del tarde

Ay apprecia kame si pwede ustedes habla canamun el presyo 'y el disponibilidad.

muchas gracia!","Hola!

Muchas Gracias por el detuyu consultasyon sobre'l cumprada del pasteles por el aca-1 compleanio del dituyu primer hijo na Septiembre 15.

-pasteles de crema batida, gandor de No. 2, disenyo animal lindo, 'y con palabara ""Feliz aca-1 compleanio querido hijo"" todo ay disponible y pwede saca alas tres del tarde na petsa Septiembre 14. 

El presyo es 50,000 won.

Pabor llama aqui kanamun si quiere vos otros compra.

Muchas Gracias."
"Hola, mi nombre si Jihye Park

kere io kumpra kunel un pasteles kon el design chene de Jes Aniversario del amun kasar,

Itsura del pasteles ,
Koloraw sagre, Size del numero tres,

Decoration , decora kunel pasteles komo na itsura del pang kasar del mojer y tuxedo del ombre igual na itsura del referencia,

Ay alegre kame if chene to kosa pa abla para konel personal dicensio ci pwede, todo este ay entimitado kon presio u kunel dia de asida","Hola, Jihye Park                                                                                                                                                                                                                                                                   Gracias na de tuyu preguntar acerca con el tuyu order special cake para na de ostedes 10th wedding anniversary.

Puwede kame ase con el Red Velvet Cake No. 3 na chene dami pangkasal & tuxedo desenyo igual na letrato yan send tu. Si quere tu chene cosa manda omenta espesyal na letra, pwede lang kame omenta. (₱) el presyo del custom designs, tres dia kame con este ta ase.

Pwede tu manda con amon sabe si cuando ostedes este saka pati cosa ora? 

Muchisimas Gracias!"
"Hola, 

chene io uban que celebra di suyo complianio na nuay plano manyana (Augusto Bente nueve) akabar nesesita io kunel pasteles ora dayun,


Itsura del Pastilles, 
Pastilles chocolate,
Size del numer uno

Decoration Simple lang ,si pwede pone kunel palabra ""Comple Anio mi amigo"",

el dia y hora Augusto bente nueve en 11am,


Alegre io si pwede ba ase akaba dayun pati pwede saka dayun si kaba ase, si pwede, pati el precio

Gracias","Hola, Suhyeon Lee,

Gracias na dituyu pregunta para na ordena pastel para na cumpleaños del amigo de ustedes mañana (Agosto 29).

Pastel de Chocolate No. 1, simple diseño, con la frase ""Feliz cumpleaños, amigo!"", pwede na pickup alas 11 del mañana na Agosto 29.
Este ta hace mismo dia, y el precio está 35,000 won.
Si quiere ustedes confirma el orden, favor habla canamon de inmediato.

Ta espera kame que ustedes cumpleaños party bien alegre y especial.

Muchas gracias,

[Nombre del tindahan] Sueño
"
"Hola,

Quiere iyo man orden pasteles para na compleaño del dimio subrino na Nobyembre tres. Mio subrino tiene raskinas na mani, quiere era yo pidi pabor si posible hase pasteles nohay mani.

Klase de pasteles: Cenora Pasteles
Grandor: de numero dos
Disenyo: Diutay conejo disenyo
Palabra: ""Feliz Compleaño, mio subrino!""
Dia y hora quando saka: Nobyembre dos, alas dos de tarde

Si puede era hase pasteles nohay raskinas, si puwede man, kwanto el presyo?

Gracias

Suenyo di Choi Young-soo","Hola, Youngsoo Choi,

Gracias na dituyu pregunta para na ordena un pastel para dituyu pamangkin na Noviembre 3.

Pastel na nuay  No. 2, apto para alérgicos a nueces, con diseño de conejo lindo, y con la frase ""¡Feliz cumpleaños, querido sobrino!"" disponible para pickup alas 2 del tarde na Noviembre 2.
El precio está 60,000 won.

Ta desea kame sinceramente un feliz cumpleaños para con el sobrino de ustedes. Si quiere ustedes confirma el orden, puede ustedes habla con kame en cualquier momento.

Muchas gracias,

[Nombre del tindahan] Sueño"
"Hola , kere io kumpra kunel pasteles para na ika sinko anio del compili anio para na dmio mojer anak na ika singko dia mess del octubre.

si pwede ase komo color rosas en itusura prinsesa el pasteles para gusta di tuyu anak ?","Hola cliente.

Feliz ika sinco Compleaño na dituyu hija! Puede itu ordena kolor rosas pasteles. Pabor tu manda sabe si tiene otro disenyo o spesyal pabor.

Gracias

[Nombre de tienda] Suenyo"
"Kere io man kumpra kunel pasteles para na d amun ika Jes aniversario del d amun relacion para na jes del Noviembre , kere io jutay komo igual na corazon para na dos hente","Hola cliente.

Enhorabuena na dituyu ika diyes anibersaryo del dituyu casamiento. Puede tu man orden pormay corazon pastilles para mas keda espesyal dituyu dia. Si tiene pa tu otro cosa manda, por ehemplo sabor de pastiles, grandor, o disenya, manda lang conamon sabe.

Gracias

[Nombre de tienda] Suenyo"
"Kere io kumpra kunel pastelles para celebra kunel dmio graduation na pesta kinse del marso, is pwede ase komo igual na logo del d mio skuela?","Hola cliente.

Enhorabuena na dituyu graduacion! Puede tu ordena pastilles con logo de escuela. Si puede tu imbya el logo, ase kame disenyo akabar dale mira contigo. Si tiene pa tu pregunta, pabor tu llama conamon maskin kosa ora.

Gracias

[Nombre de tienda] Suenyo
"
"Kere io kumpra kunel pastelles para na celebracion del aniversayo del d amun compania para na petsa uno del hulyo,

Si pwede pone kunel mensahe komo ""Congratulations on 20th anniversary"", huntu Kunel logo del compania","Hola cliente.

Enhorabuena na ika-beynte anibersaryo del dituyu kompanya! Puede tu ordena pastiles con logo del kompanya y pone mensahe 'Enhorabuena na ika-beynte Anibersaryo'. Si puede tu imbya el logo, ase kame disenyo akabar dale mira contigo. Si tiene pa tu otro cosa manda, por ehemplo grandor o sabor del pastiles, manda lang tu sabe conamon.

Gracias

[Nombre de tienda] Suenyo"
"Kere io kumpra kunel pasteles para na ika saisenta anio compli anio del dmio tata para dia bente singko del augusto, 

Kere io komo pasteles de arroz chene mesaje ""be healthy dad""","Hola cliente.

Enhorabuena na ika-sisenta compleaño del dituyu tata! Puede tu ordena pastiles con mensahe 'Tiene buen kwerpo, pang'. Pabor tu habla el klase y disenyo del pasteles de aros na kere tu, hase kame para lang contigo.

Gracias

[Nombre de tienda] Suenyo
"
