chavacano,type,english
abaja,verb,to go down
abajo,adverb,down
abandona,verb,"abandon, leave"
abandonao,adjective,"abandoned,"
abanico,noun,fan
abdomen,noun,abdomen
abembao,adjective,"crazy, foolish"
abierto,adjective,open
abilidad,noun,ability
abogao,noun,lawyer
aborto,noun,abortion
abrasa,verb,to embrace
abri,verb,open
abuela,noun,grandmother
abuelo,noun,grandfather
abundancia,noun,abundance
aburrido,adjective,angry
abuya,verb,to appear
aca,marker,marker for ordinal number (aca-dos – second)
acaba,verb,to finish
acaba,adverb,after
acabao,adjective,finished
acabar,adjective,then
acados,adjective,second
acasiete,adjective,seventh
accepta,verb,accept
acceptao,adjective,accepted
accidenta,verb,to involve in an accident
accidente,noun,accident
accion,noun,action
aceite,noun,oil
acerca,adjective,"about, regarding, on"
acorda,verb,to remember
acostumbra,verb,to accustom
acta,verb,to act
acto,noun,act
actual,adjective,actual
actualmente,adverb,actually
acusa,verb,to accuse
acusacion,noun,"accusation, charge, prosecution, complaint"
acusador,noun,accusser
acustao,adjective,laid
adelantao,adjective,"advanced, forward, progressed"
adelante,adverb,"ahead, onward, forth, forward"
ademas,adverb,"moreover, also, besides, furthermore"
adentro,preposition,"inside, in, within, inward, indoor"
adios,noun,goodbye
adjetivo,noun,adjective
administra,verb,"to administer, to attend"
administracion,noun,administration
admiti,verb,to admit
adobo,noun,marinated dish
adora,verb,to ador
adrento,preposition,"inside, in, within, inward, indoor"
adulterio,noun,adultery
adverbo,noun,adverb
advertencia,noun,"caution, notice, warning"
adverti,verb,"to inform, to warn"
afavor,verb,to favor
affectao,adjective,affected
afloha,verb,"to loose, to loosen"
afloja,verb,"to loose, to loosen"
afuera,preposition,"outside, outdoor, outward, out"
aga,adjective,"morning, daytime"
agarra,verb,"to hold, touch"
agradable,adjective,"pleasant, nice, neat"
agraviao,adjective,aggrieved
agravio,noun,"offence, grievance"
agua,noun,water
aguanta,verb,to hold tightly
aguera,verb,"to pierce a hole, to make a hole"
aguerao,adjective,"damaged, torn, broken, tattered, wrecked"
aguero,noun,"hole, small pit, loophole"
aguja,noun,needle
agujero,noun,"hole, leak, bore"
agusador,noun,pencil sharpener
ahora,adverb,now
ajunta,verb,"to collect, to gather"
ajuntao,adjective,"collected, gathered"
alabanza,noun,praise
alabastro,noun,alabaster
alajas,noun,"jewel, jewelry"
alat,adjective,salty
alboroto,adjective,noisy
alcalde,noun,mayor
alcansa,verb,to reach
alcanza,verb,to reach
alegra,verb,"to be happy, to merry"
alegra,verb,"to fix, to arrange"
alegre,adjective,"happy, joyful"
alegria,noun,"happiness, joy"
alerto,adjective,alert
alfabeto,noun,alphabet
algun,adjective,"some, any"
alisto,adjective,"alert, active"
alivio,noun,"relief, alleviation, ease, easement, comfort"
alla,adverb,"there (far), yonder"
alli,adverb,there (near)
alma,noun,"soul, spirit"
almuerza,verb,to eat breakfast
almuerzo,noun,breakfast
almujada,noun,pillow
alrededor,adverb,"around, at the side"
alsa,verb,"to lift, to raise, to increase"
alsamiento,noun,"raise, lift, increase"
alta,adjective,tall fem
altar,noun,altar
altavoz,noun,speaker
alternative,noun,alternative
alto,adjective,tall masc
altor,noun,height
altura,noun,height
alucina,verb,to hallucinate
alucinacion,noun,hallucination
alumbra,verb,"to light, to illuminate"
alumno,noun,"alumnus, student"
ama,verb,to love
amable,adjective,lovable
amarao,adjective,"tied, tied up, fastened, secured"
amarea,verb,to feel dizzy
amareao,adjective,dizzy
amargoso,noun,"bitter gourd, bitter squash"
amarillo,adjective,yellow
amarra,verb,"to tie, to tie up, fasten, to bind, to secure"
amarrao,adjective,"tied, tied up, fastened, secured"
amber,noun,hunger
ambicion,noun,"ambition, dream, goal"
amiga,noun,friend fem
amigo,noun,friend masc
amistad,noun,"friendship, camaraderie, comradeship"
amo,noun,"owner, leader, boss, master, proprietor"
amo,article,it/that is
amor,noun,love
amula,verb,sharpen
amulador,noun,whetstone
anak,noun,"child, children, son, daughter"
anay,adverb,yet
anay,noun,termite
ancho,adjective,"wide, spacious, big"
anda,verb,to go
animal,noun,animal
animo,noun,"courage, bravery"
anoche,adverb,last night
ansina,article,like this
ansina,adverb,really
anteayer,adverb,the other day
antes,adverb,long before
anuncia,verb,to announce
apa,adjective,mute
apa,noun,ice cream cone
apaga,verb,"to extinguish, to switch off, to turn off"
apas,verb,to go after
apenas,adverb,"immediately after, right after"
aplaya,noun,"sea, beach"
aprende,verb,"to learn, to study"
aproba,verb,"to approve, to agree"
aprobao,adjective,"approved, agreed"
aprovecha,verb,"to benefit, to gain"
aquel,pronoun,that
aquellos,pronoun,those
aqui,adverb,here
ara,verb,to harvest
ara,adverb,"now, right now"
arena,noun,sand
ariba,adverb,"up, above"
armao,adjective,armed
armas,noun,firearm
arranca,verb,"to eradicate, to remove"
arregla,verb,"to fix, to arrange"
arreglao,adjective,"fixed, arranged"
arreglo,noun,arrangement
arresta,verb,to arrest
arrestao,adjective,arrested
arria,verb,"to extend (a rope), to drive away"
arriba,adverb,"up, above"
arrima,verb,to move (something)
arripinti,verb,"to repent, to regret"
arripintido,adjective,"repented, regretful, remorseful"
arripintimiento,noun,"repentance, regret, remorse"
arrogante,adjective,arrogant
arroz,noun,uncooked rice
arte,noun,art
articulo,noun,article
arya,verb,"to extend (a rope), to drive away"
asa,verb,"to grill, to hope, to expect"
asao,adjective,"roasted, grilled"
asegun,preposition,according to
asegura,verb,"to make sure, to ensure"
aseguranza,noun,sureness
asegurao,adjective,sure
asignatura,noun,assignment
asistencia,noun,assistance
asisti,verb,"to assist, to attend"
asocia,verb,to associate
asquia,verb,to disgust
astronaut,noun,astronaut
asumi,verb,"to assume, to take on"
asunto,noun,"topic, subject, concern, issue, affair, matter, thing, business, proposition"
asusta,verb,"to scare, to frighten, to alarm"
asustao,adjective,"afraid, scared, frightened"
ataca,verb,to attack
ataque,noun,attack
atencion,noun,attention
atende,verb,to attend
atontao,adjective,"idiot, foolish, moron, stupid"
atraca,verb,"to draw or go near, to approach"
atractivo,adjective,attractive
atras,verb,to retreat
atras,noun,"back, behind"
atrasa,verb,"to be late, to be delayed"
atrasao,adjective,"late, delayed"
atrevi,verb,to try
atrevido,adjective,constantly trying
atributo,noun,attribute
atubang,verb,facing
autografo,noun,autograph
automovil,noun,"car, mobile car"
autor,noun,author
autoridad,noun,"authority, power"
avance,verb,to advance
avante,verb,to move forward or ahead
avenida,adjective,floody
aventura,noun,adventure
aventurero,noun,adventurer
aver,interjection,let’s see
averguenza,verb,"to cause shame, to put to shame or disgrace"
averguenzao,adjective,"shameful, disgraceful"
avisa,verb,"to report, to inform, to tell, to announce"
ay,marker,marker for future aspect
ayer,adverb,yesterday
ayuda,verb,"to help, to assist"
ayudajan,verb,to help each other
ayudante,noun,"helpmate, helper"
ayuno,noun,fasting
azul,adjective,blue
ba,interjection,"expressing confirmation, anger, and disgust"
babuy,noun,pig
baca,noun,cow
bachiller,noun,bachelor
bachillerato,adjective,bachelor
bagon,noun,shrimp paste
baila,verb,to dance
baile,noun,dance
bajo,adjective,low
baka,adverb,"maybe, perhaps, possibly"
bala,noun,bullet
balde,noun,pale
bale,adjective,"good, great"
bale,conjunction,so
bale,verb,to get the salary or payment in advance
balikutot,adjective,well positioned
baliscat,adjective,"reverse, revert, opposite, upside down"
ballena,noun,whale
banco,noun,"chair, bank"
banda,noun,band
banda,verb,to bounce
bandido,noun,bandit
bangka,noun,small boat
banko,noun,"chair, bank"
barangay,noun,small district or village
barato,adjective,"cheap, inexpensive, affordable"
barbilla,noun,chin
barco,noun,"boat, ship"
barkada,noun,friend or friends
barko,noun,"boat, ship"
barreta,noun,bar
barriga,noun,"abdomen, belly, stomach"
barrio,noun,small district or village
base,noun,base
base,verb,to have as the foundation or to use as a point from which something is developed
basia,verb,to pour
basiada,noun,"flow, stream"
basin,noun,"toilet bowl, lavatory bowl"
basketbol,noun,basketball
baso,noun,water glass
basta,adverb,"enough, just, as long as"
baston,noun,walking stick
basura,noun,"garbage, waste, rubbish"
bata,noun,"child, kid, baby"
bata,adjective,young
batallon,noun,"battalion, large organized group"
batea,noun,"basin, wash basin, dishpan"
batuta,noun,policeman’s or security guard’s stick
bautisa,verb,to baptize
bautisao,adjective,baptized
bautismo,noun,baptism
bautista,noun,baptist
bella,noun,beauty
belleza,noun,beauty
bendici,verb,to bless
bendicido,adjective,blessed
bendicion,noun,blessing
beneficio,noun,benefit
besa,verb,to kiss
beso,noun,kiss
bicicleta,noun,bicycle
bien,adverb,"very, so, really"
biernes,noun,friday
bijuco,noun,a thin stick
bijuquia,verb,to hit or spank using a thin stick
bilog,noun,piece
bilug,noun,piece
bira,verb,to return or come back
birada,noun,"curving, return"
bizcocho,noun,toasted bread or biscuit
blanco,adjective,white
blusa,noun,blouse
bo,pronoun,you (very informal)
bobocha,verb,"to knock down, to punch, to hit"
bobochao,adjective,"knocked down, bruised"
boca,noun,mouth
bodega,noun,storage of product or things
bola,noun,ball
bolpen,noun,"pen, ballpen"
bombia,verb,"to punch, to hit using a fist"
bonita,adjective,beautiful (feminine)
bonito,adjective,"handsome (masculine), beautiful (things or animals)"
bora,verb,"to erase, to remove"
boring,adjective,boredom
borrachon,adjective,"drunken, a person who is habitually or frequently drunk"
bos,pronoun,you (very informal)
botella,noun,bottle
brazo,noun,arm
brilla,verb,"to shine, to spark, to glow"
brillante,adjective,"shiny, glowing, brilliant, sparkly, glossy"
brinca,verb,to jump
broma,noun,joke
broma,verb,to joke
bronze,noun,"bronze, copper wire"
bubuyug,noun,bee
buen,adjective,good
buenas,adjective,"lucky, fortunate, blessed"
bueno,adjective,good
buga,verb,to drive (an animal or insect) away
bukug,noun,bone
